Id,Label
432,JOHN C. RODGERS
433,DAVID STEWART
434,THEODORE F. TONE
435,JOHN WHALEN
436,EUGENE G. BLACKFORD
437,HOWARD M. SMITH
438,HENRY M. HEATH
439,HENRY CARSON
440,JACOB G. DETTMER
441,JULIAN D. FAIRCHILD
442,NELSON J. GATES
443,EDWARD H. HOBBS
444,ARTHUR R. JARRETT
445,WILLIAM H. LYON
446,CLARENCE W. SEAMANS
447,SAMUEL VAN WYCK
448,T.J. WASHBURN
449,JOHN S. FOSTER
450,M.S. PAINE
451,CHARLES ESSIG
452,J. STANLEY FOSTER
453,EDWARD J. DUNPHY
454,CHARLES F. NAETHING
455,W.F. NORTON
456,EUGENE COLEMAN SAVIDGE
457,CLERMONT H. WILCOX
458,JOHN D. HICKS
459,JOHN J. SINCLAIR
460,ROBERT B. WOODWARD
461,WALTER COGGESHALL
462,ISAAC P. MAILLER
463,HENRY A. SCHENCK
464,JOHN W. AITKEN
465,OCTAVIUS D. BALDWIN
466,HENRY C. BERLIN
467,CHARLES E. BIGELOW
468,WILLIAM V. BROKAW
469,JOHN W. COCHRANE
470,CHARLES T. COOK
471,JAMES W. CROMWELL
472,H. BLANCHARD DOMINICK
473,JOEL B. ERHARDT
474,EDWARD D. FAULKNER
475,ROBERT M. GALLAWAY
476,CHARLES GRIFFEN
477,CORCELLUS H. HACKETT
478,GEORGE E. HICKS
479,RICHARD M. HOE
480,GEORGE JEREMIAH
481,THOMAS B. KENT
482,MARK W. MCCLAY
483,GEORGE MCNEIR
484,SETH M. MILLIKEN
485,WILLIAM A. NASH
486,WILLIAM H. PARSONS
487,C. LAWRENCE PERKINS
488,ISAAC S. PLATT
489,GEORGE H. ROBINSON
490,HENRY A. ROGERS
491,DAVID S. TABER
492,CHARLES H. TENNEY
493,EUGENE UNDERHILL
494,FRANCIS T. WHITE
495,WASHINGTON WILSON
496,WILLIAM H.S. WOOD
497,EDWIN GOULD
498,SAMUEL THOMAS
499,WILLIAM H. TAYLOR
500,J.A. HILTON
501,WILLIAM M. LAWS
502,CHARLES P. ARMSTRONG
503,GEORGE R. BIDWELL
504,FRANK BRAINARD
505,A.H. CALEF
506,EDMUND C. CONVERSE
507,WILLIAM NELSON CROMWELL
508,THOMAS T. ECKERT
509,FRANK JAY GOULD
510,MYRON T. HERRICK
511,EDWARD R. LADEW
512,ANDREW LANGDON
513,EDWARD R. THOMAS
514,JOHN P. TRUESDELL
515,JOHN SKELTON WILLIAMS
516,E.F.C. YOUNG
517,FELIX CAMPBELL
518,"WILLIAM B. HURD, JR."
519,CHARLES COOPER
520,JOHN W. EVANS
521,LLEWELLYN A. WRAY
522,CHARLES W. BETTS
523,WALTER S. BREWSTER
524,FREDERICK W. CARRUTHERS
525,WILLIAM J. GILPIN
526,GRANVILLE W. HARMAN
527,HENRY I. HAYDEN
528,LOOMIS L. LANGDON
529,JABEZ M. LYLE
530,JOHN McNAMEE
531,THOMAS MONAHAN
532,ERNST NATHAN
533,JOHN D. SULLIVAN
534,DAVID H. VALENTINE
535,THOMAS J. WASHBURN
536,THOMAS L. WELLS
537,H. BATTERMAN
538,JOHN H. SCHUMANN
539,H.B. SCHARMANN
540,GEORGE F. MOGER
541,LOUIS BOSSERT
542,GEORGE H. FISHER
543,H.S. HOLLINGSWORTH
544,WILLIAM LAMB
545,JOHN McKEE
546,CHARLES MILLER
547,JOHN M. MOSER
548,CHARLES NAEHER
549,JOHN H. SCHEIDT
550,MILLARD F. SMITH
551,FRANCIS A. PALMER
552,PETER CUMMING
553,J. BERRE KING
554,HORACE F. HUTCHINSON
555,FRED BAKER
556,EUGENE BRITTON
557,H. MORTIMER BRUSH
558,WARREN A. CONOVER
559,FRANCIS P. FURNALD
560,JACOB A. GEISSENHAINER
561,EDWARD P. GRIFFIN
562,GEORGE T. HAY
563,JACON D.T. HERSEY
564,HUDSON HOAGLAND
565,RICHARD B. KELLY
566,OSCAR T. MACKEY
567,W.L. WELLINGTON
568,W.H. BIRCHALL
569,C.A. BECKER
570,M.M. CORWIN
571,"THOMAS BOLTON, JR."
572,WILLIAM H. BOLTON
573,WILLIAM HENDERSON
574,MARTIN WALTER
575,GEORGE W. WHITEHEAD
576,HENRY E. HUTCHINSON
577,THOMAS M. HALSEY
578,WILLIAM J. CARR
579,"W.N. COLER, JR."
580,MATHEW DEAN
581,"JOHN DITMAS, JR."
582,DESMOND DUNNE
