Id,Label,TYPE, VALUE 
676,WILBUR C. FISK,0,
677,EDWARD J. CROKER,0,
678,JAMES A. DEERING,0,
679,FRANK T. FITZGERALD,0,
680,GRANVILLE W. GARTH,0,
681,GEORGE M. GILLIES,0,
682,"J.A. HODGE, JR.",0,
683,ISAIAH JOSEPHI,0,
684,WILLIAM LUMMIS,0,
685,WALTHER LUTTGEN,0,
686,ANDREW PATTERSON,0,
687,ISIDOR STRAUS,0,
688,ARTHUR B. WESTERVELT,0,
689,HENRY W. CANNON,0,
690,A.B. HEPBURN,0,
691,E.J. STALKER,0,
692,W.O. JONES,0,
693,S.H. MILLER,0,
694,C.C. SLADE,0,
695,H.K. TWITCHELL,0,
696,OLIVER H. PAYNE,0,
697,JAMES J. HILL,0,
698,GRANT B. SCHLEY,0,
699,JOHN I. WATERBURY,0,
700,GEORGE M. HARD,0,
701,H.P. DOREMUS,0,
702,W.H. STRAWN,0,
703,DANIEL J. CARROLL,0,
704,FRANK R. LAWRENCE,0,
705,G.P. MOROSINI,0,
706,ADOLPH RUSCH,0,
707,HENRY SHOEMAKER,0,
708,DANIEL B. SMITH,0,
709,SANFORD H. STEELE,0,
710,JOHN D. VERMEULE,0,
711,JOHN H. WASHBURN,0,
712,GEORGE G. WILLIAMS,0,
713,WILLIAM H. PORTER,0,
714,JACOB C. PARSONS,0,
715,FRANCIS HALPIN,0,
716,JAMES L. PARSON,0,
717,GEORGE G. DE WITT,0,
718,ROBERT WALTON GOELET,0,
719,FREDERIC W. STEVENS,0,
720,HENRY HASLER,0,
721,WILLIAM E. CLARK,0,
722,CHARLES H. STEINWAY,0,
723,CHARLES W. HELD,0,
724,HENRY SAYLER,0,
725,JOHN W. PIRSSON,0,
726,BARAK G. COLES,0,
727,JOHN L. DUDLEY,0,
728,SIGOURNEY W. FAY,0,
729,JOHN M. FUCHS,0,
730,CHARLES GULDEN,0,
731,JOHN C. JUHRING,0,
732,PERCIVAL KUHNE,0,
733,ROBERT P. LETHBRIDGE,0,
734,GEORGE W. ODELL,0,
735,JAMES ROWLAND,0,
736,JOHN STEMME,0,
737,DOUGLAS TAYLOR,0,
738,DAVID C. TOWNSEND,0,
739,ARTHUR W. WATSON,0,
740,THOMAS H. WOOD,0,
741,FREDERICK W. WURSTER,0,
742,REMSEN RUSHMORE,0,
743,DAVID R. MORSE,0,
744,"HENRY V. RAYMOND, JR.",0,
745,FREDERICK H. WEBSTER,0,
746,F.O. AFFELD,0,
747,WILLIAM A. AVIS,0,
748,C.F. BARBER,0,
749,E.G. BLACKFORD,0,
750,L.J. BUSBY,0,
751,DAVID F. BUTCHER,0,
752,J.G. DETTMER,0,
753,ISAAC HARRIS,0,
754,WILLIAM H. HAZZARD,0,
755,JAMES MATTHEWS,0,
756,JOHN M. RIDER,0,
757,N.T. SPRAGUE,0,
758,FRANK SQUIER,0,
759,HORATIO S. STEWART,0,
760,JOHN B. SUMMERFIELD,0,
761,CHARLES E. TEALE,0,
762,JOHN W. WILSON,0,
763,WILLIAM WILSON,0,
764,STEWART L. WOODFORD,0,
765,JAMES ROSS CURRAN,0,
766,GEORGE R. SHELDON,0,
767,ARTHUR TERRY,0,
768,WALTER W. LEE,0,
769,ELVERTON R. CHAPMAN,0,
770,PETER DOELGER,0,
771,EDWARD EYRE,0,
772,CHARLES V. FORNES,0,
773,WILLIAM H. GELSHENEN,0,
774,WILLIAM R. GRACE,0,
775,"WILLIAM HALLS, JR.",0,
776,ALBERT G. JENNINGS,0,
777,EUGENE KELLY,0,
778,HUGH KELLY,0,
779,JAMES D. LAYNG,0,
780,CHARLES E. MORSE,0,
781,HOSMER B. PARSONS,0,
782,GEORGE W. PERKINS,0,
783,FRANK H. PLATT,0,
784,EDWIN WARFIELD,0,
785,GEORGE L. GILLETTE,0,
786,BERNHARD GREEFF,0,
787,WILLIAM W. WEITLING,0,
788,GEORGE W. GILLETTE,0,
789,WILLIAM F. BUHL,0,
790,FREDERICK GERBIG,0,
791,F.W. GRELL,0,
792,FRANK HUNOLD,0,
793,HENRY KRAEMER,0,
794,FERDINAND MARTENS,0,
795,FREDERICK G. PAULY,0,
796,EDWIN P. ROE,0,
797,E.L. SCHILLER,0,
798,A.D. SCHLESINGER,0,
799,ALFRED H. SCHLESINGER,0,
800,ALEXANDER WALKER,0,
801,EDWIN W. ORVIS,0,
802,WILLIAM C. DUNCAN,0,
803,JAMES M. DONALD,0,
804,R. FLEMING HANDY,0,
806,JOHN J. HOPPER,0,
807,AUGUSTUS W. KELLEY,0,
808,JUDSON LAWSON,0,
809,"GEORGE REUTER, JR.",0,
810,CHARLES HERBERT SMITH,0,
811,HENRY E. STEVENS,0,
812,JOHN E. BORNE,0,
813,RICHARD DELAFIELD,0,
814,JAMES W. TAPPIN,0,
815,EDMUND L. JUDSON,0,
816,ARPAD S. GROSSMANN,0,
817,PHILLIP S. BABCOCK,0,
818,PERRY BELMONT,0,
819,VERNON H. BROWN,0,
820,FRANK CURTISS,0,
821,L.C. DESSAR,0,
822,JOHN S. DICKERSON,0,
823,ANSON R. FLOWER,0,
824,THEODORE W. MYERS,0,
825,DANIEL O'DAY,0,
826,LOWELL M. PALMER,0,
827,GREORGE W. QUINTARD,0,
828,GEORGE WARREN SMITH,0,
829,WILLIAM T. WARDWELL,0,
830,W. SEWARD WEBB,0,
831,HENRY N. WHITNEY,0,
832,JOSEPH FOX,0,
833,WALTER S. GRIFFITH,0,
834,CLEVELAND H. DODGE,0,
835,SIMEON FORD,0,
836,MYER S. ISAACS,0,
837,MAX J. LISSAUER,0,
838,LEWIS SEASONGOOD,0,
839,JOHN W. HARDENBERGH,0,
840,ROBERT S. ROSS,0,
841,OSCAR L. GUBELMAN,0,
842,WALTER E. AMMON,0,
843,AUGUST BELMONT,0,
844,C. LEDYARD BLAIR,0,
845,WILLIAM BRINKERHOFF,0,
846,JOHN D. CARSCALLEN,0,
847,CORNELIUS C. CUYLER,0,
848,JACOB J. DETWILLER,0,
849,ROBERT M. JARVIS,0,
850,WILLIAM B. JENKINS,0,
851,C.H. KELSEY,0,
852,GUSTAV E. KISSEL,0,
853,HENRY LEMBECK,0,
854,JAMES A. MACDONALD,0,
855,FRANK J. MATHEWS,0,
856,ALLAN L. McDERMOTT,0,
857,JAMES G. MORGAN,0,
858,N. THAYER ROBB,0,
859,EDWIN A. STEVENS,0,
860,BENJAMIN L. STOWE,0,
861,EBEN B. THOMAS,0,
862,MYLES TIERNEY,0,
863,AUGUSTUS H. VANDERPOEL,0,
864,JOHN J. VOORHEES,0,
865,AUGUSTUS ZABRISKIE,0,
866,OTTO T. BANNARD,0,
867,WILLARD V. KING,0,
868,HENRY E. AHERN,0,
869,HENRY E. DABOLL,0,
870,S. READING BERTRON,0,
871,JAMES A. BLAIR,0,
872,ROBERT W. DE FOREST,0,
873,JOHN B. DENNIS,0,
874,MARSHALL FIELD,0,
875,WILLIAM JAY,0,
876,FREDERIC B. JENNINGS,0,
877,WALTER JENNINGS,0,
878,HENRY S. KERR,0,
879,JOHN J. MITCHELL,0,
880,A. LANFEAR NORRIE,0,
881,ROBERT OLYPHANT,0,
882,CHARLES PARSONS,0,
883,P.A. VALENTINE,0,
884,MINOT C. KELLOGG,0,
885,JAMES T. WOOD,0,
886,JOSEPH G. ROBIN,0,
887,ROBERT B. WALDO,0,
888,CHARLES L. HEINS,0,
889,ARTHUR H. WILLIAMS,0,
890,GEORGE E. WALDO,0,
891,LYMAN A. CHENEY,0,
892,WIALLIAM P. RUDD,0,
893,WILLIAM H. TEN EYCK,0,
894,FREDERICK T. MARTIN,0,
895,WILLIAM E. WILLIAMS,0,
896,"WILLIAM H. BALDWIN, JR.",0,
897,ALFRED C. BARNES,0,
898,DAVID BINGHAM,0,
899,JOHN M. BOWERS,0,
900,LEONARD J. BUSBY,0,
901,R.R. CABLE,0,
902,HOWLAND DAVIS,0,
903,M.B. FIELDING,0,
904,WILLIAM F. HAVEMEYER,0,
905,CLARENCE H. KELSEY,0,
906,WILLIAM H. NICHOLS,0,
907,WILLIAM RHINELANDER STEWART,0,
908,CHARLES FRANCIS PHILLIPS,0,
909,FRANK B. ROBINSON,0,
910,WARREN L. SAWYER,0,
911,JOSEPH G. DEANE,0,
912,SILAS B. DUTCHER,0,
913,J.W. HINKLEY,0,
914,W.M. ROSS,0,
915,WILLIAM T. WATSON,0,
916,JAMES L. WOLCOTT,0,
917,BENJAMIN H. HUNTINGTON,0,
918,JAMES E. DEAN,0,
919,J.L. MARCELLUS,0,
920,R.W. BAINBRIDGE,0,
921,F.A.M. BURRELL,0,
922,HORACE C. DUVAL,0,
923,FRANK S. JONES,0,
924,JOHN E. LEECH,0,
925,DAVID W. LEWIS,0,
926,J.T.E. LITCHFIELD,0,
927,WILLIAM McCARROLL,0,
928,WILLIAM L. MOFFAT,0,
929,LUDWIG NISSEN,0,
930,SAMUEL ROWLAND,0,
931,GEORGE H. SOUTHARD,0,
932,N. TOWNSEND THAYER,0,
933,JOHN TRUSLOW,0,
934,WILLIAM H. WALLACE,0,
935,JOHN MOLLENHAUER,0,
936,JACOB F. HEALEY,0,
937,WILLIAM P. STURGIS,0,
938,HENRY GECKLER,0,
939,C.M. LOWES,0,
940,JOSEPH APPLEGATE,0,
941,ELIJAH CABBLE,0,
942,HORATIO G. CRAIG,0,
943,FREDERICK V. DARE,0,
944,ROBERT B. FERGUSON,0,
945,ISAAC HICKS,0,
946,H.F. MOLLENHAUER,0,
947,GEORGE NICHOLS,0,
948,COULSON SHEPHARD,0,
949,HENRY J. VOGEL,0,
950,AUGUSTUS WENZEL,0,
951,JOHN HAFFEN,0,
952,BRIAN G. HUGHES,0,
953,HENRY W. NEUBECK,0,
954,WILLIAM M. KERN,0,
955,CHARLES W. BOGART,0,
956,JAMES S. BRYANT,0,
957,GEORGE E. EDWARDS,0,
958,CHARLES P. FABER,0,
959,JOHN FREES,0,
960,BERNARD FRENCH,0,
961,JOHN S. HANSON,0,
962,JAMES M. LA COSTE,0,
963,JOHN LANZER,0,
964,GEORGE M. MACKELLAR,0,
965,FRANK P. MOTT,0,
966,ANTON RINSCHLER,0,
967,JULES P. VALOIS,0,
968,ANDREW MILLS,0,
969,SAMUEL P. PATTERSON,0,
970,DAVID J. TAFF,0,
971,CHARLES MIEHLING,0,
972,WILLIAM F. PATTERSON,0,
973,BENJAMIN DE F. CURTISS,0,
974,CHARLES T. GALLOWAY,0,
975,SIDNEY W. HOPKINS,0,
976,ABNER B. MILLS,0,
977,CHARLES E. PELL,0,
978,HENRY C. PERLEY,0,
979,HENRY C. ROBINSON,0,
980,JOHN A. TACKABERRY,0,
981,JOHN TIEBOUT,0,
982,ROBERT J. WRIGHT,0,
983,FREDERICK ZITTEL,0,
984,DARWIN R. JAMES,0,
985,THOMAS J. ATKINS,0,
986,LESTER W. BEASLEY,0,
987,ALEX HUTCHINS,0,
988,EUGENE F. BARNES,0,
989,JAMES N. BROWN,0,
990,CHARLES T. GEYER,0,
991,WILLIAM A. GRAHAM,0,
992,JOHN H. IRELAND,0,
993,JOHN W. JAMES,0,
994,R. J. OWENS,0,
995,CHARLES A. PECK,0,
996,STEPHEN M. RANDALL,0,
997,JOHN H. ROWLAND,0,
998,L.W. STOCKWELL,0,
999,A.H. TOPPING,0,
1000,HENRY VON GLAHN,0,
1001,FREDERICK MIDDENDORF,0,
1002,C. WASHINGTON COLYER,0,
1003,DAVID HOPKINS,0,
1004,LOUIS A. TRANBERG,0,
1005,JOHN M. LINZ,0,
1006,"GEORGE F. MIDDENDORF, JR.",0,
1007,FRANK L. CAMM,0,
1008,CLARENCE F. COLYER,0,
1009,JOHN W. EARL,0,
1010,FRED D. HART,0,
1011,FRANK C. LANG,0,
1012,JOHN W. NILES,0,
1013,GEORGE W. PALMER,0,
1014,RUDOLPH REIMER,0,
1015,CHARLES H. WADSWORTH,0,
1016,A.A. WEMMELL,0,
1017,RAYMOND JENKINS,0,
1018,DAVID BANKS,0,
1019,ZENAS E. NEWELL,0,
1020,CHARLES BANKS,0,
1021,"DAVID BANKS, JR.",0,
1022,JOSEPH ROGERS,0,
1023,CHARLES FRAZIER,0,
1024,HAMILTON R. SEARLES,0,
1025,BRINKERHOFF MYERS,0,
1026,CHARLES A. WHITNEY,0,
1027,LOUIS W. SLOCUM,0,
1028,GEORGE ABEEL,0,
1029,J. WORRALL ARTHUR,0,
1030,J. SINCLAIR ARMSTRONG,0,
1031,WARREN C. BARBER,0,
1032,CHARLES F. BASSETT,0,
1033,WILLIAM G. HOOPLE,0,
1034,HENRY T. NICHOLS,0,
1035,CHARLES A. O'DONOHUE,0,
1036,DICK S. RAMSEY,0,
1037,HENRY L. SLOTE,0,
1038,WILLIAM C. SMITH,0,
1039,WILLIAM C. TABER,0,
1040,NATHANIEL M. TERRY,0,
1041,JOHN H. WAYDELL,0,
1042,DANIEL W. WHITMORE,0,
1043,RICHARD YOUNG,0,
1044,LEWIS E. MEEKER,0,
1045,J. PARKER SLOANE,0,
1046,HOMER L. BARTLETT,0,
1047,CHARLES L. SICARDI,0,
1048,WILLIAM A. LOCKE,0,
1049,JOHN BOSSERT,0,
1050,CHARLES J. EDWARDS,0,
1051,JAMES GASCOINE,0,
1052,HENRY L. GAUS,0,
1053,E.M. HENDRICKSON,0,
1054,CHARLES JACOB,0,
1055,PATRICK J. MENAHAN,0,
1056,GEORGE E. MOULTON,0,
1057,HENRY VOLLWELLER,0,
1058,JOHN C. KELLEY,0,
1059,FRANK JENKS,0,
1060,WILLIAM J. BROWN,0,
1061,TUNIS G. BERGEN,0,
1062,HENRY BURN,0,
1063,IRVING T. BUSH,0,
1064,J.R. DONNELLY,0,
1065,ALBRO J. NEWTON,0,
1066,WILLIAM W. SPENCE,0,
1067,HENRY STEERS,0,
1068,EDWARD A. McALPIN,0,
1069,GEORGE E. WEED,0,
1070,CHARLES E. BROWN,0,
1071,JOHN ENGLIS,0,
1072,EDWIN A. McALPIN,0,
1073,GEORGE L. McALPIN,0,
1074,GEORGE W. QUINTARD,0,
1075,WILLIAM ROWLAND,0,
1076,JAMES McMAHON,0,
1077,JAMES G. JOHNSON,0,
1078,JOHN C. McCARTHY,0,
1079,LOUIS V. O'DONOHUE,0,
1080,MICHAEL E. BANNIN,0,
1081,JOHN BYRNE,0,
1082,FREDRICK R. COUDERT,0,
1083,JOHN CRANE,0,
1084,MICHAEL J. DRUMMOND,0,
1085,JOHN GOOD,0,
1086,JOSEPH P. GRACE,0,
1087,JAMES McGOVERN,0,
1088,THOMAS M. MULRY,0,
1089,HERMAN RIDDER,0,
1090,VINCENT P. TRAVERS,0,
1091,ISAAC A. HOPPER,0,
1092,GEORGE B. BROWN,0,
1093,BRADLEY L. EATON,0,
1094,ARTHUR T. TIMPSON,0,
1095,CHARLES W. DAYTON,0,
1096,SIMON ADLER,0,
1097,JOHN BEAVER,0,
1098,GEORGE H. BURFORD,0,
1099,HENRY DIMSE,0,
1100,JOHN B. JOHNSON,0,
1101,JOHN H. LOOS,0,
1102,WILLIAM MOORES,0,
1103,GEORGE W. THOMPSON,0,
1104,JOHN H. VAN TINE,0,
1105,ARTHUR E. WOOD,0,
1106,LEROY W. BALDWIN,0,
1107,O.F. THOMAS,0,
1108,WILLIAM J. ROOME,0,
1109,JAMES C. GULICK,0,
1110,EDWARD L. MERRIFIELD,0,
1111,JOHN C. GRISWOLD,0,
1112,A.L. ASHMAN,0,
1113,WILLIAM H. BARRON,0,
1114,JAMES H. BRESLIN,0,
1115,HENRY D. BREWSTER,0,
1116,ROBERT C. BROWN,0,
1117,JOHN BURKE,0,
1118,A.J. CAMMEYER,0,
1119,GEORGE C. CURRIER,0,
1120,HENRY DAZIAN,0,
1121,JOHN C. GULICK,0,
1122,R.J. HORNER,0,
1123,JOSEPH J. LITTLE,0,
1124,EDWIN S. MARSTON,0,
1125,THOMAS J. BARNETT,0,
1126,"SAMUEL SLOAN, JR.",0,
1127,CORNELIUS R. AGNEW,0,
1128,WILLIAM B. CARDOZO,0,
1129,AUGUSTUS V. HEELY,0,
1130,A.G. AGNEW,0,
1131,WILLIAM WALDORF ASTOR,0,
1132,EDWARD R. BACON,0,
1133,ROBERT F. BALLANTINE,0,
1134,W.S. BOGERT,0,
1135,ROBERT C. BOYD,0,
1136,HENRY HENTZ,0,
1137,E.R. HOLDEN,0,
1138,H. VAN RENSSELAER KENNEDY,0,
1139,"D.H. KING, JR.",0,
1140,DANIEL S. LAMONT,0,
1141,FRANKLIN D. LOCKE,0,
1142,STEPHEN S. PALMER,0,
1143,"CHARLES A. PEABODY, JR.",0,
1144,MOSES TAYLOR PYNE,0,
1145,ARCHIBALD D. RUSSELL,0,
1146,HENRY A.C. TAYLOR,0,
1147,EDWARD H. PEASLEE,0,
1148,FREDERICK FOWLER,0,
1149,EWALD FLEITMANN,0,
1150,THOMAS P. FOWLER,0,
1151,B. AYMAR SANDS,0,
1152,JACOB H. SCHRIFF,0,
1153,ERIC P. SWENSON,0,
1154,ALBERT P. WELLS,0,
1155,FRANK A. SELLE,0,
1156,I. SIMONSON,0,
1157,A.G. CALDER,0,
1158,ETHAN ALLEN DOTY,0,
1159,CHARLES A. HULL,0,
1160,THOMAS MERCHANT,0,
1161,JOHN McCORMICK,0,
1162,CHARLES W. TANDY,0,
1163,"JAMES WEIR, JR.",0,
1164,A.S. FRISSELL,0,
1165,FRANK DEAN,0,
1166,B.H. FANCHER,0,
1167,JOHN B. DUTCHER,0,
1168,"EDWARD H. PERKINS, JR.",0,
1169,JAMES R. PLUM,0,
1170,EDWARD A. PRICE,0,
1171,RUSSELL SAGE,0,
1172,CHARLES STEWART SMITH,0,
1173,GARDINER WETHERBEE,0,
1174,LEVI P. MORTON,0,
1175,WILLIAM D. SLOANE,0,
1176,CECIL D. LANDALE,0,
1177,HERBERT H. SWASEY,0,
1178,JAMES M. PRATT,0,
1179,E.J. BERWIND,0,
1180,CHAUNCEY M. DEPEW,0,
1181,C.D. DICKEY,0,
1182,ELBRIDGE T. GERRY,0,
1183,J.C. HENDRIX,0,
1184,FRANK TILFORD,0,
1185,WILLIAM C. WHITNEY,0,
1186,S. KELLY,0,
1187,R.B. KELLY,0,
1188,A. THOMPSON,0,
1189,JOHN BYRNS,0,
1190,JAMES EVERARD,0,
1191,H.F. HUNTCHINSON,0,
1192,WILLIAM N. ROBERTSON,0,
1193,WILLIAM H. SEALCH,0,
1194,DANIEL D. WYLIE,0,
1195,JOHN G. JENKINS,0,
1196,W.A. FIELD,0,
1197,I. HAMBURGER,0,
1198,JOHN J. COONEY,0,
1199,MARSHALL S. DRIGGS,0,
1200,JOSEPH HUBER,0,
1201,THEODORE F. JACKSON,0,
1202,FRANK JENKINS,0,
1203,MORTIMER L. REYNOLDS,0,
1204,JOHN W. WEBER,0,
1205,CHAUNCEY BEDELL,0,
1206,CARROLL F. NORTON,0,
1207,THEODORE A. CARMAN,0,
1208,FREDERICK INGRAHAM,0,
1209,SIDNEY DILLION RIPLEY,0,
1210,C.H. INGALLS,0,
1211,J.F. EMMONS,0,
1212,THEODORE H. SPRATT,0,
1213,C.T. BARRETT,0,
1214,ABRAM COLE,0,
1215,"LOUIS DEJONGE, JR.",0,
1216,E.A. DE LIMA,0,
1217,C.C. EDDY,0,
1218,KINTZING P. EMMONS,0,
1219,EBERHARD FABER,0,
1220,C.E. GRIFFITH,0,
1221,JACOB I. HOUSMAN,0,
1222,S.F. RAWSON,0,
1223,F.L. RODEWALD,0,
1224,JOHN WESTBROOK,0,
1225,ORRIN S. WOOD,0,
1226,H.C. FAHNESTOCK,0,
1227,C.H. STOUT,0,
1228,C.D. BACKUS,0,
1229,W.G. SNOW,0,
1230,H. FAHNESTOCK,0,
1231,"GEORGE F. BAKER, JR.",0,
1232,D. WILLIS JAMES,0,
1233,WILLIAM H. MOORE,0,
1234,J.P. MORGAN,0,
1235,WILLIAM BROWN,0,
1236,JOHN Z. LOTT,0,
1237,JOHN H. DITMAS,0,
1238,GUSTAVE A. JAHN,0,
1239,EDMUND D. FISHER,0,
1240,HENRY D. LOTT,0,
1241,GEORGE M. BOARDMAN,0,
1242,POMEROY BURTON,0,
1243,WARREN CRUIKSHANK,0,
1244,HENRY B. DAVENPORT,0,
1245,EDMUND H. DRIGGS,0,
1246,GEORGE M. HENDERSON,0,
1247,F.W. HOLMES,0,
1248,G.W. MAYNARD,0,
1249,GEORGE A. NEEDHAM,0,
1250,LEWIS E. PIERSON,0,
1251,A.W. SCHMIDT,0,
1252,ALEXANDER C. SNYDER,0,
1253,WALTER L. TYLER,0,
1254,JOSEPH DYKES,0,
1255,E.V.W. ROSSITER,0,
1256,GEORGE POPLE,0,
1257,W.H.D. NIMMO,0,
1258,LEON BARDENHEUER,0,
1259,G. HOWLAND LEAVITT,0,
1260,J. HOWARD LEVER,0,
1261,ISREAL J. MERRITT,0,
1262,FRED P. MORRIS,0,
1263,THOMAS F. TUOHY,0,
1264,D.L. VAN NOSTRAND,0,
1265,"CHARLES A. WILLETS, JR.",0,
1266,R. ROSS APPLETON,0,
1267,GEORGE F. VAIL,0,
1268,JOHN F. CARROLL,0,
1269,IRVING C. GAYLORD,0,
1270,LOUIS V. ENNIS,0,
1271,RICHARD I. BREWSTER,0,
1272,FRANK N. DOUBLEDAY,0,
1273,P. HENRY DUGRO,0,
1274,JOHN J. GIBBONS,0,
1275,EDWARD B. JORDAN,0,
1276,"F.W. KINSMAN, JR.",0,
1277,CHARLES W. MORSE,0,
1278,ALFRED PEATS,0,
1279,FRED B. SCHENCK,0,
1280,FRANK SEAMAN,0,
1281,MORRIS E. STERNE,0,
1282,ALBERT TURNER,0,
1283,C.H. PATTERSON,0,
1284,D.O. UNDERHILL,0,
1285,WILLIAM S. OPDYKE,0,
1286,ROBERT W. STUART,0,
1287,RICHARD T. WILSON,0,
1288,ARCHIBALD TURNER,0,
1289,JOHN D. ROBINSON,0,
1290,JOHN S. SILLS,0,
1291,WILLIAM G. CONKLIN,0,
1292,W.F. DEXTER,0,
1293,J. EDGAR LEAYCRAFT,0,
1294,JAMES VAN DYCK CARD,0,
1295,JOSEPH H. CHAPMAN,0,
1296,W.G. CONKLIN,0,
1297,STUART DUNCAN,0,
1298,WELCOME G. HITCHCOCK,0,
1299,BERNARD KARSCH,0,
1300,WILSON M. POWELL,0,
1301,HOWARD C. SMITH,0,
1302,FRANCIS C. TRAVERS,0,
1303,WILLIAM H. VAN KLEECK,0,
1304,CHARLES A. WALKER,0,
1305,GATES D. FAHNESTOCK,0,
1306,"C. HADDEN, JR.",0,
1307,CLINTON W. LUDLUM,0,
1308,JOSEPH E. BROWN,0,
1309,GEORGE M. COLT,0,
1310,HENRY C. HULBERT,0,
1311,A.A. LOW,0,
1312,FREDERICK W. MOSS,0,
1313,WILHELMUS MYNDERSE,0,
1314,GEORGE M. OLCOTT,0,
1315,EDWIN PACKARD,0,
1316,H.E. PIERREPONT,0,
1317,GEORGE H. PRENTISS,0,
1318,THOMAS E. STILLMAN,0,
1319,SAMUEL WOOLVERTON,0,
1320,GEORGE E. LEWIS,0,
1321,HENRY I. BARBEY,0,
1322,THOMAS DENNY,0,
1323,T. ALBEUS ADAMS,0,
1324,HAMMOND M. SHELVE,0,
1325,H.F. MEEHAN,0,
1326,FRANK FROMMEL,0,
1327,GEORGE HOTCHKISS,0,
1328,P.H. KEAHON,0,
1329,C.H. KIMBALL,0,
1330,J.H. KILLOUGH,0,
1331,EDWARD SWANN,0,
1332,W.H. GELSHENEN,0,
1333,JAMES McCUTCHEON,0,
1334,R.W. POOR,0,
1335,W.L. DOUGLASS,0,
1336,HARRY F. MORSE,0,
1337,MORGAN J. O'BRIEN,0,
1338,CHARLES T. WILLS,0,
1339,CASIMIR TAG,0,
1340,SAMUEL M. SCHAFER,0,
1341,J.F. FREDERICHS,0,
1342,OSCAR DRESSLER,0,
1343,ANTONIO GONZALEZ,0,
1344,HARMON W. HENDRICKS,0,
1345,HENRY R. KUNHARDT,0,
1346,ROBERT REUTTER,0,
1347,HENRY ROCHOLL,0,
1348,ALFRED ROELKER,0,
1349,ALBERT TAG,0,
1350,EDWARD N. TAILER,0,
1351,FREDERICK VON BERNUTH,0,
1352,CHARLES A. ZOEBISCH,0,
1353,M.J. ADRIAN,0,
1354,B.G. AMEND,0,
1355,CHARLES L. ADRIAN,0,
1356,E.F. SWANBERG,0,
1357,JOSEPH M. ADRIAN,0,
1358,AUKE DOOPER,0,
1359,SOLOMON MEHRBACH,0,
1360,S. NIEWENHOUS,0,
1361,THOMAS ROTHMANN,0,
1362,JOSEPH SCHAEFFLER,0,
1363,GEORGE STORM,0,
1364,HENRY WEILER,0,
1365,JULIUS W. BRUNN,0,
1366,A. KOPPEL,0,
1367,G.F. AMTHOR,0,
1368,ADOLPH REPPERT,0,
1369,FREDERICK PFAFF,0,
1370,FRITZ ACHELIS,0,
1371,HUBERT CILLIS,0,
1372,CARL GOEPEL,0,
1373,GEORGE GUDEWILL,0,
1374,ADOLF KUTTROFF,0,
1375,KARL MEISSNER,0,
1376,OGDEN MILLS,0,
1377,MAX A. MOSLE,0,
1378,EDWARD C. SCHAEFER,0,
1379,HUGO SCHUMANN,0,
1380,ERNEST STEIGER,0,
1381,REINHARD SIEDENBURG,0,
1382,WILLIAM S. TOD,0,
1383,R. VAN DER EMDE,0,
1384,GEORGE F. VIETOR,0,
1385,C.A. ZOEBISCH,0,
1386,OSCAR F. ZOLLIKOFFER,0,
1387,GEORGE S. BISHOP,0,
1388,WILLIAM DICK,0,
1389,THEOBALD ENGELHARDT,0,
1390,JOHN L. GAUS,0,
1391,J.A. MOLLENHAUER,0,
1392,FREDERICK ROEMMELE,0,
1393,BENJAMIN W. WILSON,0,
1394,WILLIAM ZECHIEL,0,
1395,HENRY W. SCHMIDT,0,
1396,CHARLES A. KING,0,
1397,LOFTIN LOVE,0,
1398,T. HENRY COOK,0,
1399,LOUIS P. BACH,0,
1400,BERNHARD BEINECKE,0,
1401,EDWARD BENNECHE,0,
1402,DANIEL BRUBACHER,0,
1403,OTTO M. EIDLITZ,0,
1404,ASHBEL P. FITCH,0,
1405,GUSTAV L. JAEGER,0,
1406,GUSTAV LINDENMEYR,0,
1407,HENRY E.G. LUYTIES,0,
1408,GEORGE E. MOTT,0,
1409,JOHN RHEINFRANK,0,
1410,AUGUSTUS KURTH,0,
1411,P.H. REPPENHAGEN,0,
1412,FRED KOCH,0,
1413,JULIUS LECHRENKRAUSS,0,
1414,HERMAN LINS,0,
1415,W. RASMUS,0,
1416,JOHN G. STEENKEN,0,
1417,WILLIAM D. VEEDER,0,
1418,CHARLES J. OBERMAYER,0,
1419,VAN MATER STILWELL,0,
1420,THOMAS MURPHY,0,
1421,LYNN H. SHANKS,0,
1422,"MILO M. BELDING, JR.",0,
1423,ALLAN BOWIE,0,
1424,ALEXANDER G. CALDER,0,
1425,CHARLES S. DEVOY,0,
1426,MICHAEL FURST,0,
1427,ALBERT C. HENCKEN,0,
1428,JOHN HOAGLAND,0,
1429,W.J. MAXWELL,0,
1430,CHARLES RUSTON,0,
1431,CHANNING STEBBINS,0,
1432,W.F. VANDEN HOUTEN,0,
1433,TIMOTHY PERRY,0,
1434,E.A. WALKER,0,
1435,ADRIAN MESEROLE,0,
1436,R.J. WHITTEMORE,0,
1437,PETER BURDEN,0,
1438,NIKOLAS DROGE,0,
1439,HENRY DUCKER,0,
1440,JOHN D. FELTER,0,
1441,L. JURGENS,0,
1442,DONALD A. MANSON,0,
1443,JAMES ROLLINS,0,
1444,CHARLES REYNOLDS,0,
1445,EPHRAIM A. WALKER,0,
1446,JOHN S. McLEAN,0,
1447,WILLIAM A. HAWES,0,
1448,FRANK HAMMOND,0,
1449,ALBERT G. BOGERT,0,
1450,E.W. DURKEE,0,
1451,S.A. McLEAN,0,
