Id,Label,TYPE, VALUE 
117,MANUFACTURERS' NATIONAL BANK,1,19147153.00
118,MANUFACTURERS' TRUST CO.,1,8719315.00
119,MARKET AND FULTON NATIONAL BANK,1,10429537.00
120,MECHANICS AND TRADERS' BANK,1,4929400.00
121,MECHANICS' BANK,1,19147153.00
122,MECHANICS' NATIONAL BANK,1,22260530.00
123,MERCANTILE NATIONAL BANK,1,20839345.00
124,MERCANTILE TRUST CO.,1,19147153.00
125,MERCHANTS' BANK OF BROOKLYN,1,19147153.00
126,MERCHANTS' EXCHANGE NATIONAL BANK,1,7368385.00
127,MERCHANTS' NATIONAL BANK,1,25357084.00
128,MERCHANTS' TRUST CO.,1,6712875.00
129,METROPOLITAN SAVINGS BANK,1,12401357.00
130,METROPOLITAN TRUST CO.,1,17744637.00
131,MORTON TRUST CO.,1,58950479.00
132,MOUNT MORRIS BANK,1,3352600.00
133,MUTUAL BANK,1,2670500.00
134,MUTUAL TRUST CO. OF WESTCHESTER COUNTY,1,2188219.00
135,NASSAU BANK,1,4047700.00
136,NASSAU NATIONAL BANK,1,19147153.00
137,NASSAU TRUST CO.,1,6931431.00
138,NATIONAL BANK OF COMMERCE,1,126814804.00
139,NATIONAL BANK OF NORTH AMERICA,1,26259824.00
140,NATIONAL BROADWAY BANK,1,10405312.00
141,NATIONAL BUTCHERS AND DROVERS' BANK,1,2648555.00
142,NATIONAL CITIZENS' BANK,1,10158995.00
143,NATIONAL CITY BANK,1,19147153.00
144,NATIONAL CITY BANK OF NEW YORK,1,202816405.00
145,NATIONAL PARK BANK,1,80154188.00
146,NATIONAL SHOW AND LEATHER BANK,1,7449685.00
147,NEW AMSTERDAM NATIONAL BANK,1,11067009.00
148,NEW YORK CLEARING HOUSE ASSOCIATION,1,19147153.00
149,NEW YORK COUNTY NATIONAL BANK,1,5708897.00
150,NEW YORK LIFE INSURANCE AND TRUST CO.,1,37007434.00
151,NEW YORK NATIONAL EXCHANGE BANK,1,7212434.00
152,NEW YORK PRODUCE EXCHANGE BANK,1,6147900.00
153,NEW YORK SAVINGS BANK,1,19659610.00
154,NEW YORK SECURITY AND TRUST CO.,1,51015860.00
155,NEW YORK STATE MORTGAGE BANK AND SAVINGS ASSOCIATION,1,19147153.00
156,NINETEENTH WARD BANK,1,2203600.00
157,NORTH AMERICAN TRUST CO.,1,15827264.00
158,NORTH RIVER SAVINGS BANK,1,6632062.00
159,NORTH SIDE BANK OF BROOKLYN,1,19147153.00
160,ORIENTAL BANK,1,3355700.00
161,PACIFIC BANK,1,4404700.00
162,PEOPLE'S BANK OF BROOKLYN,1,19147153.00
163,PEOPLE'S BANK OF THE CITY OF NEW YORK,1,3182700.00
164,PEOPLE'S TRUST CO.,1,13398782.00
165,PHENIX NATIONAL BANK,1,12295636.00
166,PLAZA BANK,1,3627600.00
167,QUEENS COUNTY SAVINGS BANK,1,1471202.00
168,REAL ESTATE TRUST CO.,1,8209925.00
169,REAL ESTATE TRUSTS CO. OF JERSEY CITY,1,19147153.00
170,RICHMOND COUNTY SAVINGS BANK,1,436148.00
171,RIVERSIDE BANK,1,1290900.00
172,SEABOARD NATIONAL BANK,1,24718544.00
173,SEAMEN'S BANK FOR SAVINGS,1,64601277.00
174,SECOND NATIONAL BANK,1,12431611.00
175,SECURITIES CO.,1,19147153.00
176,SEVENTEENTH WARD BANK,1,19147153.00
177,SEVENTH NATIONAL BANK,1,9805081.00
178,SOUTH BROOKLYN SAVINGS INSTITUTION,1,18998807.00
179,SPRAGUE NATIONAL BANK,1,19147153.00
180,STANDARD TRUST CO.,1,14541423.00
181,STATE BANK,1,7115600.00
182,STATEN ISLAND SAVINGS BANK,1,2344000.00
183,TITLE GUARANTEE AND TRUST CO.,1,10932507.00
184,TRUST COMPANY OF AMERICA,1,23761201.00
185,TRUST COMPANY OF THE REPUBLIC,1,2689850.00
186,TWELFTH WARD BANK,1,2175800.00
187,TWENTY-SIXTH WARD BANK,1,19147153.00
188,TWENTY-THIRD WARD BANK,1,1730800.00
189,UNION BANK OF BROOKLYN,1,19147153.00
190,UNION DIME SAVINGS INSTITUTION,1,24563170.00
191,UNION SQUARE BANK,1,19147153.00
192,UNION TRUST CO. OF NEW YORK,1,62381985.00
193,UNITED NATIONAL BANK OF NEW YORK CITY,1,2770166.00
194,UNITED STATES MORTGAGE AND TRUST CO.,1,32117290.00
195,UNITED STATES SAVINGS BANK,1,1696848.00
196,UNITED STATES TRUST CO.,1,74862490.00
197,UNIVERSAL TRUST CO.,1,19147153.00
198,VARICK BANK OF NEW YORK,1,19147153.00
199,WALLABOUT BANK,1,19147153.00
200,WASHINGTON BANK,1,19147153.00
201,WASHINGTON SAVINGS BANK,1,199652.00
202,WASHINGTON TRUST CO.,1,10521774.00
203,WELLS FARGO & CO.'S BANK,1,19147153.00
204,WEST SIDE BANK,1,4425300.00
205,WEST SIDE SAVINGS BANK,1,1340003.00
206,WESTCHESTER TRUST CO.,1,1048540.00
207,WESTERN NATIONAL BANK,1,68657039.00
208,WILLIAMSBURGH SAVINGS BANK,1,50959295.00
209,WILLIAMSBURGH TRUST CO.,1,5553467.00
210,YORKVILLE BANK,1,2097800.00
211,GEORGE W. JENKINS,0,
212,JAMES H. HYDE,0,
213,CHARLES H. HAMILTON,0,
214,F.W. FULLE,0,
215,CHARLES B. ALEXANDER,0,
216,HENRY M. ALEXANDER,0,
217,WILLIAM ALEXANDER,0,
218,MARCELLUS HARTLEY DODGE,0,
219,LOUIS FITZGERALD,0,
220,E.H. HARRIMAN,0,
221,THOMAS H. HUBBARD,0,
222,BRADISH JOHN JOHNSON,0,
223,OTTO H. KAHN,0,
224,WILLIAM H. McINTYRE,0,
225,J. HENRY SMITH,0,
226,V.P. SNYDER,0,
