   3150 ,  52 ,  1975154851.381198
   3005 ,  14 ,  1589298643.324256
   3010 ,  16 ,  1568769156.085435
   2964 ,  13 ,  1550204887.609040
   3114 ,  11 ,  1516251201.987898
   3032 ,  13 ,  1495699776.323082
   3183 ,  35 ,  1407035032.013024
   0091 ,  27 ,  1365821116.131124
   2980 ,  17 ,  1361811575.824030
   0124 ,  38 ,  1241052701.772809
   0144 ,  28 ,  1201189935.433542
   2948 ,  16 ,  1156360893.664595
   2936 ,  14 ,  1093857816.809948
   0196 ,  27 ,  1025025980.048959
   3062 ,  15 ,  0991909709.907490
   3194 ,  25 ,  0989164615.394106
   0138 ,  22 ,  0976541148.160496
   3035 ,  09 ,  0976373686.169000
   2959 ,  11 ,  0887384987.442189
   3120 ,  50 ,  0841039908.223252
   0131 ,  30 ,  0819422126.071622
   3115 ,  11 ,  0813188149.310346
   0154 ,  27 ,  0792532214.945614
   0062 ,  32 ,  0782648077.787741
   2967 ,  20 ,  0746442723.858567
   0066 ,  21 ,  0733983502.036498
   3017 ,  16 ,  0716045866.078270
   3048 ,  13 ,  0695800896.384100
   3065 ,  09 ,  0671976788.135079
   0207 ,  24 ,  0633647495.163149
   0192 ,  26 ,  0616029550.023789
   0071 ,  16 ,  0603834476.615611
   0094 ,  24 ,  0587488476.014796
   0112 ,  14 ,  0587426526.340266
   3078 ,  12 ,  0571782464.150272
   3111 ,  12 ,  0565844345.394479
   0100 ,  26 ,  0565583007.610237
   3086 ,  12 ,  0554050832.440892
   0174 ,  16 ,  0532312325.369821
   2942 ,  12 ,  0503043397.763395
   0018 ,  45 ,  0489693322.797811
   3057 ,  14 ,  0481040266.773333
   3139 ,  21 ,  0478614139.682871
   0116 ,  21 ,  0473174014.851327
   0030 ,  22 ,  0442524307.366818
   0180 ,  26 ,  0429470468.705343
   3071 ,  09 ,  0399845661.773852
   0194 ,  28 ,  0392710321.146465
   0183 ,  30 ,  0391759255.487686
   3100 ,  16 ,  0377556699.118116
   0029 ,  15 ,  0375806190.859807
   0003 ,  15 ,  0367028347.138368
   0130 ,  23 ,  0365061665.750010
   0063 ,  12 ,  0364617625.507868
   0032 ,  12 ,  0351201031.765684
   0014 ,  14 ,  0324123336.166789
   0150 ,  31 ,  0319140685.886889
   0007 ,  31 ,  0315992852.684711
   0090 ,  26 ,  0293604879.602561
   3012 ,  08 ,  0269647995.059799
   0142 ,  20 ,  0268229103.364239
   0097 ,  19 ,  0266583309.576503
   0145 ,  18 ,  0264210397.660768
   3176 ,  13 ,  0258913181.578071
   0141 ,  10 ,  0246698414.380673
   3093 ,  13 ,  0239914242.043247
   3205 ,  35 ,  0234615755.887945
   3163 ,  14 ,  0232988792.426725
   0166 ,  21 ,  0232466603.643551
   0110 ,  12 ,  0232059297.530054
   0083 ,  28 ,  0204460515.384647
   0028 ,  13 ,  0203308443.946349
   0184 ,  29 ,  0199456995.635328
   3240 ,  27 ,  0186710961.107149
   0122 ,  12 ,  0184051242.090808
   0178 ,  25 ,  0179982664.759744
   0111 ,  17 ,  0179533281.376589
   0200 ,  16 ,  0174074959.096246
   0008 ,  12 ,  0172675388.011185
   0198 ,  13 ,  0161304237.731797
   0134 ,  20 ,  0159282343.664304
   0042 ,  30 ,  0155402040.714729
   3026 ,  05 ,  0152246994.740000
   0019 ,  20 ,  0148130215.374788
   3265 ,  13 ,  0145712067.840000
   0013 ,  12 ,  0141348148.405881
   0037 ,  23 ,  0140440998.077948
   3039 ,  09 ,  0140266476.680123
   0148 ,  09 ,  0137243788.030397
   0160 ,  10 ,  0135425449.264962
   2993 ,  12 ,  0134274593.514000
   0139 ,  22 ,  0129268824.871901
   0152 ,  11 ,  0127422610.869385
   0168 ,  24 ,  0121897875.317465
   0078 ,  10 ,  0119581722.566717
   3166 ,  15 ,  0115200165.120826
   3173 ,  14 ,  0114088440.415116
   0040 ,  24 ,  0112477177.424526
   0058 ,  19 ,  0108123583.510564
   0191 ,  26 ,  0104767357.474632
   0173 ,  21 ,  0098861482.169775
   0069 ,  07 ,  0098768006.149144
   0128 ,  17 ,  0095566841.899593
   0162 ,  21 ,  0094660920.883091
   0046 ,  10 ,  0094319508.132032
   0034 ,  10 ,  0092354298.300707
   0127 ,  13 ,  0084209877.770162
   0026 ,  21 ,  0083282706.456249
   0123 ,  17 ,  0082614388.419194
   0012 ,  05 ,  0079905133.820588
   0109 ,  28 ,  0077019188.531779
   0121 ,  13 ,  0076025525.111564
   0025 ,  26 ,  0074333336.970992
   0208 ,  17 ,  0073150411.409727
   0098 ,  14 ,  0072212661.159143
   0065 ,  12 ,  0071033433.446804
   0075 ,  09 ,  0069713322.114319
   0190 ,  18 ,  0063980961.943868
   0108 ,  24 ,  0060670864.601956
   0146 ,  13 ,  0059402463.907121
   0093 ,  22 ,  0056288324.014067
   0202 ,  21 ,  0055605330.199579
   0175 ,  15 ,  0053291941.832922
   0050 ,  17 ,  0051669743.196062
   0177 ,  13 ,  0050452695.553525
   0137 ,  24 ,  0049902639.772477
   0114 ,  19 ,  0047505925.781347
   0115 ,  19 ,  0045825281.055840
   0147 ,  16 ,  0044821622.607137
   0209 ,  27 ,  0043969477.046495
   0195 ,  19 ,  0043227925.002176
   0077 ,  21 ,  0042887073.785656
   0172 ,  13 ,  0041951977.103592
   0101 ,  16 ,  0038265898.947350
   0047 ,  19 ,  0038029987.429869
   0099 ,  16 ,  0037028003.344529
   0149 ,  09 ,  0035272704.330515
   0102 ,  19 ,  0033758519.676222
   0009 ,  16 ,  0033535330.521083
   0054 ,  21 ,  0032561556.672364
   0164 ,  23 ,  0032241705.119319
   0136 ,  14 ,  0032210527.753241
   0151 ,  15 ,  0031749282.778121
   0157 ,  24 ,  0030861948.114872
   0022 ,  17 ,  0030716578.269537
   0179 ,  15 ,  0028905248.022291
   0153 ,  14 ,  0028442040.904000
   0165 ,  15 ,  0027915497.488704
   0076 ,  19 ,  0027798739.317262
   0004 ,  18 ,  0027598192.567289
   0096 ,  12 ,  0027597603.282125
   0199 ,  13 ,  0027055195.912699
   0024 ,  14 ,  0027000684.817689
   0035 ,  22 ,  0026064950.307948
   0159 ,  17 ,  0025545039.718414
   0036 ,  24 ,  0025237902.147319
   0203 ,  11 ,  0025083827.050326
   0073 ,  12 ,  0024753881.221429
   0118 ,  21 ,  0024616706.420362
   0176 ,  19 ,  0024609166.008265
   0064 ,  12 ,  0023360527.410464
   0015 ,  21 ,  0022245015.761475
   0119 ,  17 ,  0021537085.139290
   0169 ,  06 ,  0021081666.610000
   0155 ,  12 ,  0021014941.220000
   0027 ,  24 ,  0020602246.859053
   0080 ,  09 ,  0019987329.235626
   0125 ,  21 ,  0019900135.057143
   0081 ,  15 ,  0019861109.551175
   0140 ,  10 ,  0018936394.748826
   0206 ,  17 ,  0018516289.678315
   0197 ,  09 ,  0018395223.600588
   0095 ,  15 ,  0017557519.230000
   0031 ,  17 ,  0017081446.226712
   0079 ,  11 ,  0016496436.715714
   0126 ,  12 ,  0015546307.806182
   0072 ,  22 ,  0015249565.678807
   0085 ,  17 ,  0015244637.454023
   0117 ,  16 ,  0015109515.750407
   0129 ,  15 ,  0013203792.558056
   0089 ,  10 ,  0013112049.541405
   0033 ,  12 ,  0012771083.264474
   0074 ,  17 ,  0012261910.085519
   0158 ,  18 ,  0012053745.175982
   0170 ,  17 ,  0011629595.768179
   0067 ,  10 ,  0011570481.455005
   0061 ,  16 ,  0010925623.038254
   0156 ,  16 ,  0010794689.496910
   0088 ,  12 ,  0010398966.291203
   0143 ,  12 ,  0009970341.621193
   0204 ,  16 ,  0009867489.746257
   0167 ,  14 ,  0009828307.485000
   0084 ,  12 ,  0009711489.320774
   0086 ,  22 ,  0009364435.099002
   0051 ,  17 ,  0008094446.089363
   0048 ,  16 ,  0007411119.038333
