Id,Label,Type,Value,D,WD,Cluster,PageRank,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigen,,,,,,,,,,,
46,CORPORATION TRUST CO. OF DELAWARE,1,19147153,8,8,0.5,0.002270906,6,0.380952381,0.001345549,0.073436625,,,,,,,,,,,
47,DIME SAVINGS BANK OF BROOKLYN,1,29982817,9,12,0.055555556,0.003043266,5,0.37037037,0.006753542,0.023346135,,,,,,,,,,,
48,DIME SAVINGS BANK OF WILLIAMSBURGH,1,4948703,2,3,0,0.001226208,6,0.290556901,0.000172577,0.002286676,,,,,,,,,,,
49,DOLLAR SAVINGS BANK,1,2056064,1,6,0,0.001641069,8,0.216216216,0,6.52499E-05,,,,,,,,,,,
50,DRY LOCK SAVINGS INSTITUTION,1,30965394,4,4,0,0.001520769,6,0.379746835,0.000884904,0.039354766,,,,,,,,,,,
51,EAST BROOKLYN SAVINGS BANK,1,4409005,4,4,0,0.001746158,6,0.336134454,0.000995911,0.007856548,,,,,,,,,,,
52,EAST NEW YORK SAVINGS BANK,1,1573189,1,1,0,0.001020394,7,0.258342304,0,0.000707196,,,,,,,,,,,
53,EAST RIVER NATIONAL BANK,1,1829704,1,1,0,0.001131449,7,0.246406571,0,0.000427484,,,,,,,,,,,
54,EAST RIVER SAVINGS INSTITUTION,1,21686677,4,6,0.5,0.001628913,7,0.324763194,0.000162494,0.007550839,,,,,,,,,,,
55,EASTERN DISTRICT SAVINGS BANK,1,1067503,3,5,0.333333333,0.003227872,6,0.298879203,0.022843373,0.007449109,,,,,,,,,,,
56,EIGHTH WARD BANK,1,19147153,3,3,1,0.001392802,6,0.320427236,0,0.010251461,,,,,,,,,,,
57,ELEVENTH WARD BANK,1,19147153,8,8,0.214285714,0.002659655,5,0.382165605,0.003056467,0.0418066,,,,,,,,,,,
58,EMIGRANT INDUSTRIAL SAVINGS BANK,1,76176890,13,16,0.230769231,0.00331718,6,0.403361345,0.003609452,0.064462353,,,,,,,,,,,
59,EMPIRE CITY SAVINGS BANK,1,2034469,4,6,0.333333333,0.001364134,6,0.363086233,0.000226,0.036735353,,,,,,,,,,,
60,EMPIRE STATE BANK,1,19147153,5,14,0.1,0.001941104,6,0.332409972,0.001626752,0.009202742,,,,,,,,,,,
61,EXCELSIOR SAVINGS BANK,1,4947195,2,2,1,0.00109121,6,0.308880309,0,0.004891984,,,,,,,,,,,
62,FARMERS' LOAN & TRUST CO.,1,53830818,59,91,0.444769141,0.009965174,4,0.494845361,0.012913794,0.901343373,,,,,,,,,,,
63,FIDELITY BANK,1,879500,36,46,0.596825397,0.006240404,5,0.4536862,0.001907786,0.59688965,,,,,,,,,,,
64,FIFTH AVENUE BANK,1,19147153,3,3,0,0.001577198,6,0.295202952,0.000869075,0.001364318,,,,,,,,,,,
65,FIFTH AVENUE BANK OF NEW YORK,1,12029600,12,16,0.257575758,0.003117606,6,0.393442623,0.003392467,0.07610583,,,,,,,,,,,
66,FIFTH AVENUE TRUST CO.,1,15597193,55,97,0.392592593,0.009543162,5,0.497925311,0.013593031,0.756708572,,,,,,,,,,,
67,FIFTH NATIONAL BANK,1,336513,4,4,0.166666667,0.001617865,6,0.33379694,0.000305991,0.014763678,,,,,,,,,,,
68,FIRST NATIONAL BANK OF BROOKLYN,1,19147153,3,15,0.666666667,0.001408553,6,0.317880795,0.000116916,0.006563114,,,,,,,,,,,
69,FIRST NATIONAL BANK OF HEMPSTEAD,1,19147153,15,17,0.8,0.002954797,5,0.415944541,0.000133823,0.226012679,,,,,,,,,,,
70,FIRST NATIONAL BANK OF STATEN ISLAND,1,944445,2,4,0,0.001299065,7,0.298879203,0.000111879,0.003426454,,,,,,,,,,,
71,FIRST NATIONAL BANK OF THE CITY OF NEW YORK,1,108579794,37,49,0.46996997,0.006741824,4,0.469667319,0.008624113,0.553263661,,,,,,,,,,,
72,FLATBUSH TRUST CO.,1,1567051,7,9,0.380952381,0.002288866,6,0.366412214,0.001741083,0.03997926,,,,,,,,,,,
73,FLUSHING BANK,1,19147153,2,4,0,0.001380206,6,0.316622691,0.000484793,0.014171228,,,,,,,,,,,
74,FOURTEENTH STREET BANK,1,2354800,14,16,0.604395604,0.003842289,6,0.384,0.002549713,0.045873714,,,,,,,,,,,
