Source,Target,Type,Id,Label,Weight
18,174,Undirected,224,,1
18,136,Undirected,225,,1
18,174,Undirected,226,,1
18,109,Undirected,227,,1
18,109,Undirected,228,,1
18,174,Undirected,229,,1
18,127,Undirected,230,,1
18,119,Undirected,231,,1
18,40,Undirected,232,,1
18,63,Undirected,233,,1
18,123,Undirected,234,,1
18,29,Undirected,235,,1
18,118,Undirected,236,,1
18,136,Undirected,237,,1
18,148,Undirected,238,,1
18,3120,Undirected,239,,1
18,134,Undirected,240,,1
18,109,Undirected,241,,1
18,29,Undirected,242,,1
18,62,Undirected,243,,1
18,63,Undirected,244,,1
18,94,Undirected,245,,1
18,112,Undirected,246,,1
18,141,Undirected,247,,1
18,142,Undirected,248,,1
18,144,Undirected,249,,1
18,154,Undirected,250,,1
18,174,Undirected,251,,1
18,196,Undirected,252,,1
18,2948,Undirected,253,,1
18,2959,Undirected,254,,1
18,3005,Undirected,255,,1
18,3010,Undirected,256,,1
18,3032,Undirected,257,,1
18,3062,Undirected,258,,1
18,3114,Undirected,259,,1
18,3120,Undirected,260,,1
18,3194,Undirected,261,,1
18,145,Undirected,262,,1
18,166,Undirected,263,,1
19,100,Undirected,264,,1
19,177,Undirected,265,,1
19,184,Undirected,266,,1
19,3111,Undirected,267,,1
19,130,Undirected,268,,1
19,177,Undirected,269,,1
19,177,Undirected,270,,1
19,111,Undirected,271,,1
19,202,Undirected,272,,1
19,96,Undirected,273,,1
19,177,Undirected,274,,1
19,3120,Undirected,275,,1
19,124,Undirected,276,,1
19,3010,Undirected,277,,1
19,3150,Undirected,278,,1
19,28,Undirected,279,,1
19,184,Undirected,280,,1
19,3111,Undirected,281,,1
19,184,Undirected,282,,1
19,3100,Undirected,283,,1
19,177,Undirected,284,,1
19,2993,Undirected,285,,1
19,111,Undirected,286,,1
22,71,Undirected,287,,1
22,143,Undirected,288,,1
22,94,Undirected,289,,1
22,151,Undirected,290,,1
22,154,Undirected,291,,1
22,67,Undirected,292,,1
22,140,Undirected,293,,1
23,94,Undirected,294,,1
24,93,Undirected,295,,1
24,207,Undirected,296,,1
24,93,Undirected,297,,1
25,26,Undirected,298,,1
25,114,Undirected,299,,1
25,114,Undirected,300,,1
25,121,Undirected,301,,1
25,114,Undirected,302,,1
25,139,Undirected,303,,1
25,157,Undirected,304,,1
25,77,Undirected,305,,1
25,136,Undirected,306,,1
25,96,Undirected,307,,1
25,3166,Undirected,308,,1
25,114,Undirected,309,,1
25,3139,Undirected,310,,1
25,3163,Undirected,311,,1
25,114,Undirected,312,,1
25,136,Undirected,313,,1
25,196,Undirected,314,,1
25,114,Undirected,315,,1
25,114,Undirected,316,,1
25,3173,Undirected,317,,1
25,26,Undirected,318,,1
25,3163,Undirected,319,,1
25,93,Undirected,320,,1
25,108,Undirected,321,,1
26,111,Undirected,322,,1
26,192,Undirected,323,,1
26,136,Undirected,324,,1
26,47,Undirected,325,,1
26,121,Undirected,326,,1
26,71,Undirected,327,,1
26,111,Undirected,328,,1
26,178,Undirected,329,,1
26,2942,Undirected,330,,1
26,199,Undirected,331,,1
26,194,Undirected,332,,1
26,86,Undirected,333,,1
26,96,Undirected,334,,1
26,136,Undirected,335,,1
27,68,Undirected,336,,1
27,209,Undirected,337,,1
27,159,Undirected,338,,1
27,68,Undirected,339,,1
27,209,Undirected,340,,1
27,68,Undirected,341,,1
27,209,Undirected,342,,1
27,209,Undirected,343,,1
27,209,Undirected,344,,1
27,176,Undirected,345,,1
27,68,Undirected,346,,1
27,209,Undirected,347,,1
27,168,Undirected,348,,1
27,184,Undirected,349,,1
27,3100,Undirected,350,,1
28,184,Undirected,351,,1
28,3111,Undirected,352,,1
28,128,Undirected,353,,1
28,81,Undirected,354,,1
28,142,Undirected,355,,1
28,3166,Undirected,356,,1
28,90,Undirected,357,,1
28,97,Undirected,358,,1
28,138,Undirected,359,,1
28,154,Undirected,360,,1
28,183,Undirected,361,,1
28,3166,Undirected,362,,1
28,3194,Undirected,363,,1
28,71,Undirected,364,,1
28,144,Undirected,365,,1
28,154,Undirected,366,,1
28,3176,Undirected,367,,1
28,3194,Undirected,368,,1
28,128,Undirected,369,,1
28,195,Undirected,370,,1
28,3111,Undirected,371,,1
28,128,Undirected,372,,1
28,3194,Undirected,373,,1
28,3120,Undirected,374,,1
28,3150,Undirected,375,,1
29,30,Undirected,376,,1
29,97,Undirected,377,,1
29,138,Undirected,378,,1
29,209,Undirected,379,,1
29,3139,Undirected,380,,1
29,30,Undirected,381,,1
29,91,Undirected,382,,1
29,131,Undirected,383,,1
29,138,Undirected,384,,1
29,3183,Undirected,385,,1
29,30,Undirected,386,,1
29,34,Undirected,387,,1
29,66,Undirected,388,,1
29,90,Undirected,389,,1
29,91,Undirected,390,,1
29,131,Undirected,391,,1
29,150,Undirected,392,,1
29,183,Undirected,393,,1
29,3183,Undirected,394,,1
29,62,Undirected,395,,1
29,63,Undirected,396,,1
29,94,Undirected,397,,1
29,112,Undirected,398,,1
29,141,Undirected,399,,1
29,142,Undirected,400,,1
29,144,Undirected,401,,1
29,154,Undirected,402,,1
29,174,Undirected,403,,1
29,196,Undirected,404,,1
29,2948,Undirected,405,,1
29,2959,Undirected,406,,1
29,3005,Undirected,407,,1
29,3010,Undirected,408,,1
29,3032,Undirected,409,,1
29,3062,Undirected,410,,1
29,3114,Undirected,411,,1
29,3120,Undirected,412,,1
29,3194,Undirected,413,,1
29,118,Undirected,414,,1
29,136,Undirected,415,,1
29,148,Undirected,416,,1
29,3120,Undirected,417,,1
29,63,Undirected,418,,1
29,209,Undirected,419,,1
29,31,Undirected,420,,1
29,37,Undirected,421,,1
29,65,Undirected,422,,1
29,37,Undirected,423,,1
29,40,Undirected,424,,1
29,144,Undirected,425,,1
29,209,Undirected,426,,1
29,137,Undirected,427,,1
29,144,Undirected,428,,1
29,208,Undirected,429,,1
30,66,Undirected,430,,1
30,91,Undirected,431,,1
30,138,Undirected,432,,1
30,194,Undirected,433,,1
30,2964,Undirected,434,,1
30,3139,Undirected,435,,1
30,3183,Undirected,436,,1
30,66,Undirected,437,,1
30,78,Undirected,438,,1
30,91,Undirected,439,,1
30,3183,Undirected,440,,1
30,97,Undirected,441,,1
30,138,Undirected,442,,1
30,209,Undirected,443,,1
30,3139,Undirected,444,,1
30,91,Undirected,445,,1
30,131,Undirected,446,,1
30,138,Undirected,447,,1
30,3183,Undirected,448,,1
30,34,Undirected,449,,1
30,66,Undirected,450,,1
30,90,Undirected,451,,1
30,91,Undirected,452,,1
30,131,Undirected,453,,1
30,150,Undirected,454,,1
30,183,Undirected,455,,1
30,3183,Undirected,456,,1
30,150,Undirected,457,,1
30,3039,Undirected,458,,1
30,3139,Undirected,459,,1
30,97,Undirected,460,,1
30,138,Undirected,461,,1
30,183,Undirected,462,,1
30,196,Undirected,463,,1
30,2959,Undirected,464,,1
30,127,Undirected,465,,1
30,174,Undirected,466,,1
30,59,Undirected,467,,1
30,75,Undirected,468,,1
30,3120,Undirected,469,,1
30,3150,Undirected,470,,1
30,3173,Undirected,471,,1
30,31,Undirected,472,,1
30,138,Undirected,473,,1
30,3183,Undirected,474,,1
30,2967,Undirected,475,,1
30,83,Undirected,476,,1
30,192,Undirected,477,,1
30,3005,Undirected,478,,1
30,3183,Undirected,479,,1
30,122,Undirected,480,,1
30,165,Undirected,481,,1
31,201,Undirected,482,,1
31,37,Undirected,483,,1
31,65,Undirected,484,,1
31,122,Undirected,485,,1
31,94,Undirected,486,,1
31,149,Undirected,487,,1
31,174,Undirected,488,,1
32,62,Undirected,489,,1
32,71,Undirected,490,,1
32,91,Undirected,491,,1
32,111,Undirected,492,,1
32,116,Undirected,493,,1
32,148,Undirected,494,,1
32,162,Undirected,495,,1
32,3062,Undirected,496,,1
32,3086,Undirected,497,,1
32,3114,Undirected,498,,1
32,3139,Undirected,499,,1
32,3183,Undirected,500,,1
32,116,Undirected,501,,1
