ID,Label,Type
167,QUEENS COUNTY SAVINGS BANK,1
168,REAL ESTATE TRUST CO.,1
169,REAL ESTATE TRUSTS CO. OF JERSEY CITY,1
170,RICHMOND COUNTY SAVINGS BANK,1
171,RIVERSIDE BANK,1
172,SEABOARD NATIONAL BANK,1
173,SEAMEN'S BANK FOR SAVINGS,1
174,SECOND NATIONAL BANK,1
175,SECURITIES CO.,1
176,SEVENTEENTH WARD BANK,1
177,SEVENTH NATIONAL BANK,1
178,SOUTH BROOKLYN SAVINGS INSTITUTION,1
179,SPRAGUE NATIONAL BANK,1
180,STANDARD TRUST CO.,1
183,TITLE GUARANTEE AND TRUST CO.,1
184,TRUST COMPANY OF AMERICA,1
190,UNION DIME SAVINGS INSTITUTION,1
191,UNION SQUARE BANK,1
192,UNION TRUST CO. OF NEW YORK,1
193,UNITED NATIONAL BANK OF NEW YORK CITY,1
194,UNITED STATES MORTGAGE AND TRUST CO.,1
195,UNITED STATES SAVINGS BANK,1
196,UNITED STATES TRUST CO.,1
197,UNIVERSAL TRUST CO.,1
198,VARICK BANK OF NEW YORK,1
199,WALLABOUT BANK,1
200,WASHINGTON BANK,1
201,WASHINGTON SAVINGS BANK,1
202,WASHINGTON TRUST CO.,1
203,WELLS FARGO & CO.'S BANK,1
204,WEST SIDE BANK,1
205,WEST SIDE SAVINGS BANK,1
206,WESTCHESTER TRUST CO.,1
207,WESTERN NATIONAL BANK,1
208,WILLIAMSBURGH SAVINGS BANK,1
209,WILLIAMSBURGH TRUST CO.,1
210,YORKVILLE BANK,1
2936,ERIE R.R. CO.,2
2942,"CHICAGO, ROCK ISLAND & PACIFIC RAILWAY CO. R.R.",2
2948,CHICAGO AND NORTHWESTERN RAILWAY CO.,2
2959,"CHICAGO, BURLINGTON & QUINCY RAILWAY CO.",2
2964,NEW YORK CENTRAL AND HUDSON RIVER R.R.,2
2967,"NEW YORK, NEW HAVEN AND HARTFORD R.R. CO.",2
2980,PENNSYLVANIA R.R. CO.,2
2993,SEABOARD AIRLINE RAILWAY,2
3005,SOUTHERN PACIFIC CO.,2
3010,UNION PACIFIC RAILROAD CO.,2
3012,WELLS FARGO & CO.,2
3017,"ATCHISON, TOPEKA AND SANTA FE RAILWAY CO.",2
3026,ATLANTIC COAST LINE,2
3032,BALTIMORE AND OHIO RAILROAD CO.,2
3035,CHESAPEAKE AND OHIO RAILWAY CO.,2
3039,CHICAGO GREAT WESTERN RAILWAY,2
3048,"CHICAGO, MILWAUKEE AND ST. PAUL RAILWAY CO.",2
3057,DELAWARE AND HUDSON CO.,2
3062,"DELAWARE, LACKAWANNA AND WESTERN RAILROAD CO.",2
3065,DENVER AND RIO GRANDE RAILROAD CO.,2
3071,GREAT NORTHERN RAILWAY CO.,2
3078,ILLINOIS CENTRAL RAILROAD,2
3086,LEHIGH VALLEY RAILROAD CO.,2
3093,LOUISVILLE AND NASHVILLE RAILROAD CO.,2
3100,"MISSOURI, KANSAS AND TEXAS RAILWAY CO.",2
3111,MISSOURI PACIFIC RAILWAY CO.,2
3114,NORTHERN PACIFIC RAILWAY CO.,2
