Id,Label,Director
149,NEW YORK COUNTY NATIONAL BANK,0
150,NEW YORK LIFE INSURANCE AND TRUST CO.,0
151,NEW YORK NATIONAL EXCHANGE BANK,0
152,NEW YORK PRODUCE EXCHANGE BANK,0
153,NEW YORK SAVINGS BANK,0
154,NEW YORK SECURITY AND TRUST CO.,0
155,NEW YORK STATE MORTGAGE BANK AND SAVINGS ASSOCIATION,0
156,NINETEENTH WARD BANK,0
157,NORTH AMERICAN TRUST CO.,0
158,NORTH RIVER SAVINGS BANK,0
159,NORTH SIDE BANK OF BROOKLYN,0
160,ORIENTAL BANK,0
161,PACIFIC BANK,0
162,PEOPLE'S BANK OF BROOKLYN,0
163,PEOPLE'S BANK OF THE CITY OF NEW YORK,0
164,PEOPLE'S TRUST CO.,0
165,PHENIX NATIONAL BANK,0
166,PLAZA BANK,0
167,QUEENS COUNTY SAVINGS BANK,0
168,REAL ESTATE TRUST CO.,0
169,REAL ESTATE TRUSTS CO. OF JERSEY CITY,0
170,RICHMOND COUNTY SAVINGS BANK,0
171,RIVERSIDE BANK,0
172,SEABOARD NATIONAL BANK,0
173,SEAMEN'S BANK FOR SAVINGS,0
174,SECOND NATIONAL BANK,0
175,SECURITIES CO.,0
176,SEVENTEENTH WARD BANK,0
177,SEVENTH NATIONAL BANK,0
178,SOUTH BROOKLYN SAVINGS INSTITUTION,0
179,SPRAGUE NATIONAL BANK,0
180,STANDARD TRUST CO.,0
181,STATE BANK,0
182,STATEN ISLAND SAVINGS BANK,0
183,TITLE GUARANTEE AND TRUST CO.,0
184,TRUST COMPANY OF AMERICA,0
185,TRUST COMPANY OF THE REPUBLIC,0
186,TWELFTH WARD BANK,0
187,TWENTY-SIXTH WARD BANK,0
188,TWENTY-THIRD WARD BANK,0
189,UNION BANK OF BROOKLYN,0
190,UNION DIME SAVINGS INSTITUTION,0
191,UNION SQUARE BANK,0
192,UNION TRUST CO. OF NEW YORK,0
193,UNITED NATIONAL BANK OF NEW YORK CITY,0
194,UNITED STATES MORTGAGE AND TRUST CO.,0
195,UNITED STATES SAVINGS BANK,0
196,UNITED STATES TRUST CO.,0
197,UNIVERSAL TRUST CO.,0
198,VARICK BANK OF NEW YORK,0
199,WALLABOUT BANK,0
200,WASHINGTON BANK,0
201,WASHINGTON SAVINGS BANK,0
202,WASHINGTON TRUST CO.,0
203,WELLS FARGO & CO.'S BANK,0
204,WEST SIDE BANK,0
205,WEST SIDE SAVINGS BANK,0
206,WESTCHESTER TRUST CO.,0
207,WESTERN NATIONAL BANK,0
208,WILLIAMSBURGH SAVINGS BANK,0
209,WILLIAMSBURGH TRUST CO.,0
210,YORKVILLE BANK,0
211,GEORGE W. JENKINS,1
212,JAMES H. HYDE,1
213,CHARLES H. HAMILTON,1
214,F.W. FULLE,1
215,CHARLES B. ALEXANDER,1
216,HENRY M. ALEXANDER,1
217,WILLIAM ALEXANDER,1
218,MARCELLUS HARTLEY DODGE,1
219,LOUIS FITZGERALD,1
220,E.H. HARRIMAN,1
221,THOMAS H. HUBBARD,1
222,BRADISH JOHN JOHNSON,1
223,OTTO H. KAHN,1
224,WILLIAM H. McINTYRE,1
225,J. HENRY SMITH,1
226,V.P. SNYDER,1
227,GEORGE H. SQUIRE,1
228,G.E. TARBELL,1
229,HENRY ROGERS WINTHROP,1
230,FREDERICK H. POUCH,1
231,ALONZO B. POUCH,1
232,WILLIAM H. HASCY,1
233,EDGAR D. POUCH,1
234,WILLIAM H. POUCH,1
235,DUMONT CLARKE,1
236,E. BURNS,1
237,F.B. ANDERSON,1
238,J.S. CARR,1
239,L.L. CLARKE,1
240,SAMUEL D. BABCOCK,1
241,JOHN CLAFFIN,1
242,W. BAYARD CUTTING,1
243,WILLIAM P. DIXON,1
244,HENRY W. MAXWELL,1
245,J. ROGERS MAXWELL,1
246,SAMUEL REA,1
247,HENRY K. SHELDON,1
248,JOHN T. TERRY,1
249,L.C. WEIR,1
250,EDWARD V. LOEW,1
251,HENRY T. BRONSON,1
252,MYER HELLMAN,1
253,WILLIAM IRWIN,1
254,CLARENCE GOADBY,1
255,JAMES F. FARGO,1
256,SAMUEL HALL,1
257,CHARLES N. LEE,1
258,MOSES H. MOSES,1
259,VINCENT PISEK,1
260,RUSSELL RAYMOND,1
261,EDWARD ROWELL,1
262,DAVID H. ROWLAND,1
263,WILLIAM L. SKIDMORE,1
264,GRANVILLE B. SMITH,1
265,JOHN H. TIMMERMAN,1
266,WARNER VAN NORDEN,1
267,J.A. VAN WAGENEN,1
268,GEORGE F. BAKER,1
269,ALEXANDER H. STEVENS,1
270,GEORGE W. PANCOAST,1
271,BARKLEY WYCKOFF,1
272,JOHN JACOB ASTOR,1
273,HARRISON E. GAWTRY,1
274,"ADRIAN ISELIN, JR.",1
275,ROBERT H. McCURDY,1
276,CHARLES A. PEABODY,1
277,DOUGLAS ROBINSON,1
278,W. EMLEN ROOSEVELT,1
279,FREDERICK D. TAPPEN,1
280,L.V.F. RANDOLPH,1
281,JOHN L. RIKER,1
282,WILLIAM CARPENDER,1
283,JOHN ALVIN YOUNG,1
284,ALFRED H. SWAYNE,1
285,L.M. JONES,1
286,"BENJAMIN STRONG, JR.",1
287,FRANCIS M. BACON,1
288,D. CRAWFORD CLARK,1
289,GEORGE W. WLY,1
290,ANDREW H. GREEN,1
291,JOHN F. HALSTED,1
292,CHARLES R. HENDERSON,1
293,LOUIS J. HILL,1
294,WILLIAM H. HOLLISTER,1
295,WILLIAM B. ISHAM,1
296,W.R.T. JONES,1
297,MARTIN JOOST,1
298,LEWIS CASS LEDYARD,1
299,C.D. LEVERICH,1
300,GILBERT M. PLYMPTON,1
301,ANTON A. RAVEN,1
302,"WILLIAM SCHALL, JR.",1
303,JOHN W. SIMPSON,1
304,FRANCIS S. SMITHERS,1
305,FREDERICK STURGES,1
